Temperature,Humidity,Pressure,CO,CO2,Fire
27.4,48.5,1030.0,0.13,673.0,False
27.6,48.1,1030.0,0.06,922.0,False
27.7,47.2,1030.0,0.0,532.0,False
26.9,50.0,1030.0,0.26,635.0,False
28.7,45.5,1030.0,0.32,595.0,False
28.5,46.0,1030.0,0.23,542.0,False
27.0,51.0,1030.0,0.0,747.0,False
26.6,51.0,1030.0,0.07,558.0,False
28.6,45.2,1030.0,0.46,982.0,False
27.4,48.5,1030.0,0.82,440.0,False
27.6,48.4,1030.0,0.0,920.0,False
27.8,47.0,1030.0,0.0,399.0,False
27.0,50.0,1030.0,0.28,622.0,False
28.7,45.6,1030.0,0.37,678.0,False
28.4,46.2,1030.0,0.21,347.0,False
27.0,51.0,1030.0,0.0,747.0,False
26.6,51.2,1030.0,0.1,557.0,False
28.6,45.2,1030.0,0.49,973.0,False
27.4,48.5,1030.0,0.43,669.0,False
27.6,48.5,1030.0,0.0,914.0,False
27.8,47.4,1030.0,0.0,402.0,False
27.0,50.3,1030.0,0.29,610.0,False
28.7,45.9,1030.0,0.3,814.0,False
28.4,46.6,1030.0,0.35,380.0,False
27.0,51.1,1030.0,0.0,748.0,False
26.7,50.9,1030.0,0.1,559.0,False
28.6,45.5,1030.0,0.54,957.0,False
27.5,48.4,1030.0,0.05,694.0,False
27.6,48.6,1030.0,0.0,913.0,False
27.8,47.3,1030.0,0.0,330.0,False
27.0,50.2,1030.0,0.43,623.0,False
28.8,45.7,1030.0,0.37,866.0,False
28.4,46.6,1030.0,0.28,355.0,False
27.0,51.2,1030.0,0.0,747.0,False
26.7,50.8,1030.0,0.16,562.0,False
28.6,45.4,1030.0,0.58,932.0,False
27.5,48.4,1030.0,0.35,711.0,False
27.6,48.6,1030.0,0.0,916.0,False
27.8,47.3,1030.0,0.0,290.0,False
27.0,50.2,1030.0,0.41,630.0,False
28.7,45.8,1030.0,0.36,636.0,False
28.3,46.8,1030.0,0.23,326.0,False
27.1,51.2,1030.0,0.0,752.0,False
26.8,50.8,1030.0,0.14,561.0,False
28.6,45.5,1030.0,0.43,982.0,False
27.4,48.7,1030.0,0.18,714.0,False
27.6,48.6,1030.0,0.0,924.0,False
27.8,47.6,1030.0,0.0,509.0,False
27.0,50.2,1030.0,0.52,609.0,False
28.7,45.9,1030.0,0.37,352.0,False
28.3,46.9,1030.0,0.0,332.0,False
27.1,51.0,1030.0,0.0,754.0,False
26.8,51.0,1030.0,0.11,562.0,False
28.6,45.5,1030.0,0.38,995.0,False
27.4,48.6,1030.0,0.2,667.0,False
27.6,48.8,1030.0,0.0,930.0,False
27.8,47.3,1030.0,0.0,542.0,False
27.0,50.2,1030.0,0.5,608.0,False
28.8,45.9,1030.0,0.22,777.0,False
28.3,47.0,1030.0,0.09,556.0,False
27.1,51.2,1030.0,0.0,755.0,False
26.8,51.1,1030.0,0.22,563.0,False
28.6,45.6,1030.0,0.38,1002.0,False
27.4,48.5,1030.0,0.02,737.0,False
27.6,48.5,1030.0,0.0,931.0,False
27.9,47.5,1030.0,0.0,581.0,False
27.0,50.3,1030.0,0.41,613.0,False
28.8,45.9,1030.0,0.34,830.0,False
28.3,47.3,1030.0,0.18,581.0,False
27.1,51.2,1030.0,0.0,756.0,False
26.9,51.3,1030.0,0.36,563.0,False
28.6,45.6,1030.0,0.43,947.0,False
27.5,48.5,1030.0,0.37,718.0,False
27.6,48.6,1030.0,0.0,919.0,False
27.9,47.3,1030.0,0.0,565.0,False
27.1,50.3,1030.0,0.33,621.0,False
28.7,46.0,1030.0,0.32,841.0,False
28.4,47.2,1030.0,0.25,272.0,False
27.1,51.0,1030.0,0.0,756.0,False
26.9,50.7,1030.0,0.27,563.0,False
28.7,45.7,1030.0,0.53,915.0,False
27.5,48.3,1030.0,0.31,705.0,False
27.6,48.6,1030.0,0.0,913.0,False
28.0,47.1,1030.0,0.0,422.0,False
27.1,50.2,1030.0,0.34,625.0,False
28.8,46.0,1030.0,0.36,417.0,False
28.4,47.0,1030.0,0.0,335.0,False
27.1,51.0,1030.0,0.0,755.0,False
26.9,50.7,1030.0,0.27,564.0,False
28.7,45.8,1030.0,0.61,924.0,False
27.5,48.4,1030.0,0.13,699.0,False
