"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_PART_NUMBER";"HEIGHT";"LCSC_DATASHEET";"LCSC_PART";"LCSC_PRICE1_EUR";"LCSC_ROTATION_CCW";"LCSC_STOCK";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROPERTIES";"PURCHASE-URL";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SNAPEDA_LINK";"SPICEPREFIX";
"C38";"3.3nF";"C_3.3NF/50V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10B332KB8NNNC_C1613.pdf";"C1613";"";"0";"55111";"";"";"";"";"";"";"";"";"";"";"";"";"50V 3.3nF X7R ±10% 0603  ROHS";"";"";"";"";"";
"C39";"C_10UF/25V_0805";"C_10UF/25V_0805";"C0805";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811121310_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf";"C15850";"";"0";"1370441";"";"";"";"";"";"";"";"";"";"";"";"";"X5R 25V ±10% 10uF 0805  ROHS";"";"";"";"";"";
"C40";"C_22UF/25V_0805";"C_22UF/25V_0805";"C0805";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811151152_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf";"C45783";"";"0";"1218863";"";"";"";"";"";"";"";"";"";"";"";"";"X5R 25V ±20% 22uF 0805  ROHS";"";"";"";"";"";
"C41";"C_22UF/25V_0805";"C_22UF/25V_0805";"C0805";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811151152_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf";"C45783";"";"0";"1218863";"";"";"";"";"";"";"";"";"";"";"";"";"X5R 25V ±20% 22uF 0805  ROHS";"";"";"";"";"";
"C42";"C_22UF/25V_0805";"C_22UF/25V_0805";"C0805";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811151152_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf";"C45783";"";"0";"1218863";"";"";"";"";"";"";"";"";"";"";"";"";"X5R 25V ±20% 22uF 0805  ROHS";"";"";"";"";"";
"C43";"C_100NF/50V_0603";"C_100NF/50V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1809301912_YAGEO-CC0603KRX7R9BB104_C14663.pdf";"C14663";"";"0";"7111530";"";"";"";"";"";"";"";"";"";"";"";"";"50V 100nF X7R ±10% 0603  ROHS";"";"";"";"";"";
"D1";"SML-P12MTT86";"SML-P12MTT86";"LED_SML-P11UTT86R";"SML-P1 Series Red 0402 Clear 60 mcd 2 V Surface Mount PICOLED LED";"";"";"";"";"Unavailable";"";" Green 572nm LED Indication - Discrete 2V 0402 _1006 Metric_ ";"";"";"";"";"";"";"";"";"";"";"";"Rohm";"";"";"SML-P12MTT86";"";"";"";"0402 Rohm";"";"None";"";"";"";"";"";"";
"D2";"SML-P12MTT86";"SML-P12MTT86";"LED_SML-P11UTT86R";"SML-P1 Series Red 0402 Clear 60 mcd 2 V Surface Mount PICOLED LED";"";"";"";"";"Unavailable";"";" Green 572nm LED Indication - Discrete 2V 0402 _1006 Metric_ ";"";"";"";"";"";"";"";"";"";"";"";"Rohm";"";"";"SML-P12MTT86";"";"";"";"0402 Rohm";"";"None";"";"";"";"";"";"";
"D4";"SML-P12VTT86";"SML-P12VTT86";"LED_SML-P11UTT86R";"SML-P1 Series Red 0402 Clear 60 mcd 2 V Surface Mount PICOLED LED";"";"";"";"";"Unavailable";"";" Red 630nm LED Indication - Discrete 2V 0402 _1006 Metric_ ";"";"";"";"";"";"";"";"";"";"";"";"Rohm";"";"";"SML-P12VTT86";"";"";"";"0402 Rohm";"";"None";"";"";"";"";"";"";
"D5";"SML-P12MTT86";"SML-P12MTT86";"LED_SML-P11UTT86R";"SML-P1 Series Red 0402 Clear 60 mcd 2 V Surface Mount PICOLED LED";"";"";"";"";"Unavailable";"";" Green 572nm LED Indication - Discrete 2V 0402 _1006 Metric_ ";"";"";"";"";"";"";"";"";"";"";"";"Rohm";"";"";"SML-P12MTT86";"";"";"";"0402 Rohm";"";"None";"";"";"";"";"";"";
"D6";"SML-P12MTT86";"SML-P12MTT86";"LED_SML-P11UTT86R";"SML-P1 Series Red 0402 Clear 60 mcd 2 V Surface Mount PICOLED LED";"";"";"";"";"Unavailable";"";" Green 572nm LED Indication - Discrete 2V 0402 _1006 Metric_ ";"";"";"";"";"";"";"";"";"";"";"";"Rohm";"";"";"SML-P12MTT86";"";"";"";"0402 Rohm";"";"None";"";"";"";"";"";"";
"D7";"SML-P12VTT86";"SML-P12VTT86";"LED_SML-P11UTT86R";"SML-P1 Series Red 0402 Clear 60 mcd 2 V Surface Mount PICOLED LED";"";"";"";"";"Unavailable";"";" Red 630nm LED Indication - Discrete 2V 0402 _1006 Metric_ ";"";"";"";"";"";"";"";"";"";"";"";"Rohm";"";"";"SML-P12VTT86";"";"";"";"0402 Rohm";"";"None";"";"";"";"";"";"";
"D9";"SS34LWH";"SS34LWH";"SODFL3718X102N";"Check availability";"";"";"";"";"In Stock";"https://www.snapeda.com/parts/SS34LWH/taiwan/view-part/?ref=eda";"                                                      3A, 40V, Automotive Planar Schottky                                              ";"";"";"";"";"";"";"";"";"";"";"";"Taiwan Semiconductor";"";"";"SS34LWH";"";"";"";"SOD-123W-2 Taiwan Semiconductor";"";"None";"";"";"";"";"https://www.snapeda.com/parts/SS34LWH/taiwan/view-part/?ref=snap";"";
"D10";"SS34LWH";"SS34LWH";"SODFL3718X102N";"Check availability";"";"";"";"";"In Stock";"https://www.snapeda.com/parts/SS34LWH/taiwan/view-part/?ref=eda";"                                                      3A, 40V, Automotive Planar Schottky                                              ";"";"";"";"";"";"";"";"";"";"";"";"Taiwan Semiconductor";"";"";"SS34LWH";"";"";"";"SOD-123W-2 Taiwan Semiconductor";"";"None";"";"";"";"";"https://www.snapeda.com/parts/SS34LWH/taiwan/view-part/?ref=snap";"";
